ID,Original platform,Original name,Result,Final platform,Final name,Changed fields,Notes,Sources
a121e247-83e3-45eb-8a72-c427b95ef9d4,Squarespace,Crumb,Verified unchanged,Squarespace,Crumb,,"Name, purpose, category, domain scope, retention and wildcard checked against the cited source.",https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
2f192f8d-0a97-4da6-bfa4-8eb2a5a32fd8,Squarespace,siteUserCrumb,Verified unchanged,Squarespace,siteUserCrumb,,"Name, purpose, category, domain scope, retention and wildcard checked against the cited source.",https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
2a8c3bd0-931b-4097-908d-562a1612a357,Squarespace,_ssid,Verified unchanged,Squarespace,_ssid,,"Name, purpose, category, domain scope, retention and wildcard checked against the cited source.",https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
2b35fd14-86ab-4208-af52-263ff3976502,Squarespace,SiteUserInfo,Verified unchanged,Squarespace,SiteUserInfo,,"Name, purpose, category, domain scope, retention and wildcard checked against the cited source.",https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
9c24ef46-5521-4beb-a338-528c14bc713b,Squarespace,SiteUserSecureAuthToken,Verified unchanged,Squarespace,SiteUserSecureAuthToken,,"Name, purpose, category, domain scope, retention and wildcard checked against the cited source.",https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
f844c101-32f2-4ef5-b72b-d43e56d3793f,Squarespace,CART,Verified unchanged,Squarespace,CART,,"Name, purpose, category, domain scope, retention and wildcard checked against the cited source.",https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
64b51604-c72a-435e-87ec-54d40f30d146,Squarespace,hasCart,Corrected,Squarespace,hasCart,Description,Remove an undocumented implementation detail.,https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
e138f10a-e9ec-4212-a835-f11f40b34e47,Squarespace,CHECKOUT_WEBSITE,Verified unchanged,Squarespace,CHECKOUT_WEBSITE,,"Name, purpose, category, domain scope, retention and wildcard checked against the cited source.",https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
dc55c208-7668-463d-94bc-bd3b6d09296d,Squarespace,Commerce-checkout-state,Corrected,Squarespace,Commerce-checkout-state,Description,Vendor identifies this as sessionStorage.,https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
f4832fb9-3f95-461b-9294-89697a9758b9,Squarespace,orderStatusSessionToken,Verified unchanged,Squarespace,orderStatusSessionToken,,"Name, purpose, category, domain scope, retention and wildcard checked against the cited source.",https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
e7660c28-fbf5-4bba-bcb5-139fc9dd5e88,Squarespace,Locked,Verified unchanged,Squarespace,Locked,,"Name, purpose, category, domain scope, retention and wildcard checked against the cited source.",https://support.squarespace.com/hc/en-us/articles/360001264507-The-cookies-Squarespace-uses
